batter,pressure_adjusted_sr_reliable,pressure_exposure,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,cluster,batter_role
P Simran Singh,117.27848957438592,383.7,0.1972895491269221,0.0878290330987751,0.0,0.434179215793553,0.22921599294979705,0.2596072303328635,0.4312004517667671,0,Anchor / Stabilizer
PA Patel,101.01405077219128,1047.1,0.15490402062840225,0.07153089485244964,0.0,0.39871023485279367,0.08063069715295365,0.1486312116357654,0.385105395692985,0,Anchor / Stabilizer
PA Reddy,112.95361049373686,84.0,0.15595238095238095,0.07023809523809524,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
PBB Rajapaksa,122.2511181731715,46.1,0.227765726681128,0.03253796095444685,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
PC Valthaty,117.21018907105353,213.7,0.20402433317735144,0.06598034627983154,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
PD Collingwood,105.88880318748934,69.5,0.09640287769784171,0.0748201438848921,0.0,0.0,0.3092089908783261,0.38746124379956715,0.0,1,Aggressive Accelerator
PD Salt,137.53254484880847,140.0,0.23142857142857143,0.047857142857142855,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
PJ Cummins,137.04694938166787,488.3,0.22117550686053655,0.12779029285275445,0.0,0.4779576733846942,0.5101230530568467,0.4887649143455437,0.5004985384476692,0,Anchor / Stabilizer
PK Garg,91.51379016919229,222.5,0.06292134831460675,0.11101123595505617,0.0,0.0,0.13493987339601596,0.18182336007150796,0.0,1,Aggressive Accelerator
PN Mankad,108.43029150039031,112.7,0.15882874889086068,0.024844720496894408,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
PP Chawla,110.54715805349974,893.7,0.15161687367125432,0.14009175338480473,0.25502629353681966,0.26083756037540723,0.44218104548728693,0.5020890941517442,0.2705280343374214,0,Anchor / Stabilizer
PP Shaw,125.69730524778485,648.1,0.21385588643727818,0.08146890911896311,0.0,0.5061573382282607,0.0,0.0,0.511375902596157,0,Anchor / Stabilizer
PV Tambe,74.87547402109404,159.0,0.016981132075471698,0.03270440251572327,0.0,0.0,0.15464390419822877,0.36447199585161083,0.0,1,Aggressive Accelerator
PWH de Silva,101.7046450448055,98.7,0.11347517730496452,0.21681864235055723,0.0,0.0,0.278959686575158,0.3228501755473792,0.0,1,Aggressive Accelerator
Q de Kock,111.74623325879202,1064.3,0.16414544771211123,0.06295217513858875,0.0,0.41568206221329274,0.11195786459704626,0.13384895823175427,0.3926759488059033,0,Anchor / Stabilizer
R Ashwin,117.5332570074238,910.2,0.14842891672159964,0.1132718083937596,0.39922645535956397,0.3899306128551786,0.46289660955509443,0.5164464335778103,0.3810608886733626,2,Clutch Finisher
R Bhatia,107.1722318547882,476.6,0.10574905581200167,0.12400335711288292,0.0,0.0,0.35966603405097575,0.44513429315724695,0.0,1,Aggressive Accelerator
R Dhawan,96.25199089030782,345.8,0.13475997686524002,0.06072874493927125,0.0,0.0,0.3260731815096881,0.4495149278369125,0.0,1,Aggressive Accelerator
R Dravid,115.18908719206048,941.1,0.1689512272872171,0.05227924768887472,0.0,0.5283418164532009,0.45302062376668645,0.4574907595447901,0.5216695216735973,0,Anchor / Stabilizer
R McLaren,82.76996446103136,182.3,0.014810751508502468,0.08667032364234778,0.0,0.0,0.19160055945477555,0.35819671411035015,0.0,1,Aggressive Accelerator
R Parag,108.21200930228642,707.7,0.1427158400452169,0.07418397626112759,0.0,0.3344781339135953,0.31060534432385956,0.4014697496270091,0.31009067606864765,0,Anchor / Stabilizer
R Powell,137.82694177839892,488.4,0.21191646191646193,0.10544635544635546,0.0,0.3471812592617164,0.4734173532612578,0.4639515331132287,0.36429499274903393,0,Anchor / Stabilizer
