batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
AB de Villiers,RA Jadeja,32,35,1,4,109.375,0.03125,0.125,0.21267361111111108,0.125,0.07291666666666667,0.9270833333333334,0.36935763888888884,0.6306423611111112
AB de Villiers,RD Chahar,8,16,0,2,200.0,0.0,0.25,0.38888888888888884,0.25,0.0,1.0,0.5069444444444444,0.4930555555555556
AB de Villiers,RP Singh,6,3,0,0,50.0,0.0,0.0,0.09722222222222221,0.0,0.0,1.0,0.2986111111111111,0.7013888888888888
AB de Villiers,RR Raje,7,9,0,1,128.57142857142858,0.0,0.14285714285714285,0.25,0.14285714285714285,0.0,1.0,0.4107142857142857,0.5892857142857143
AB de Villiers,Rashid Khan,8,8,1,1,100.0,0.125,0.125,0.19444444444444442,0.125,0.2916666666666667,0.7083333333333333,0.3055555555555555,0.6944444444444444
AB de Villiers,Ravi Bishnoi,11,13,0,2,118.18181818181819,0.0,0.18181818181818182,0.22979797979797978,0.18181818181818182,0.0,1.0,0.41035353535353536,0.5896464646464646
AB de Villiers,S Gopal,27,24,2,0,88.88888888888889,0.07407407407407407,0.0,0.17283950617283947,0.0,0.1728395061728395,0.8271604938271605,0.29320987654320985,0.7067901234567902
AB de Villiers,S Lamichhane,11,13,0,1,118.18181818181819,0.0,0.09090909090909091,0.22979797979797978,0.09090909090909091,0.0,1.0,0.38762626262626265,0.6123737373737373
AB de Villiers,S Nadeem,13,25,0,5,192.30769230769232,0.0,0.38461538461538464,0.3739316239316239,0.38461538461538464,0.0,1.0,0.5331196581196581,0.4668803418803419
AB de Villiers,S Randiv,12,13,0,0,108.33333333333333,0.0,0.0,0.2106481481481481,0.0,0.0,1.0,0.35532407407407407,0.6446759259259259
AB de Villiers,S Sreesanth,10,14,0,1,140.0,0.0,0.1,0.2722222222222222,0.1,0.0,1.0,0.4111111111111111,0.5888888888888889
AB de Villiers,SB Jakati,20,39,1,5,195.0,0.05,0.25,0.3791666666666666,0.25,0.11666666666666668,0.8833333333333333,0.47291666666666665,0.5270833333333333
AB de Villiers,SK Warne,6,6,1,0,100.0,0.16666666666666666,0.0,0.19444444444444442,0.0,0.3888888888888889,0.6111111111111112,0.25,0.75
AB de Villiers,SL Malinga,28,67,0,11,239.28571428571428,0.0,0.39285714285714285,0.4652777777777777,0.39285714285714285,0.0,1.0,0.5808531746031745,0.41914682539682546
AB de Villiers,SM Pollock,9,3,0,0,33.33333333333333,0.0,0.0,0.0648148148148148,0.0,0.0,1.0,0.2824074074074074,0.7175925925925926
AB de Villiers,SP Narine,17,19,1,2,111.76470588235294,0.058823529411764705,0.11764705882352941,0.21732026143790847,0.11764705882352941,0.13725490196078433,0.8627450980392157,0.3537581699346405,0.6462418300653595
AB de Villiers,SR Tendulkar,6,19,0,4,316.66666666666663,0.0,0.6666666666666666,0.6157407407407406,0.6666666666666666,0.0,1.0,0.724537037037037,0.275462962962963
AB de Villiers,SR Watson,15,16,1,2,106.66666666666667,0.06666666666666667,0.13333333333333333,0.20740740740740737,0.13333333333333333,0.15555555555555556,0.8444444444444444,0.3481481481481481,0.6518518518518519
AB de Villiers,SS Cottrell,9,12,0,2,133.33333333333331,0.0,0.2222222222222222,0.2592592592592592,0.2222222222222222,0.0,1.0,0.4351851851851851,0.5648148148148149
