batter,death_balls,death_runs,death_pressure_exposure,death_weighted_runs,death_boundaries,death_dismissals,death_sr_raw,death_pressure_sr_raw,death_boundary_rate_raw,death_dismissal_rate_raw,death_pressure_sr_raw_norm,death_pressure_exposure_norm,death_boundary_rate_raw_norm,death_balls_norm,death_dismissal_temp,death_dismissal_rate_norm,death_specialist_score
SK Raina,159,255,391.8,651.8,33,6,160.37735849056605,166.36038795303725,0.20754716981132076,0.03773584905660377,0.6520788241827822,0.12270001016570091,0.5109856550949999,0.14102564102564105,0.14133001760783756,0.8586699823921624,0.48753822506703337
SM Curran,84,123,240.1,361.2,15,9,146.42857142857142,150.43731778425655,0.17857142857142858,0.10714285714285714,0.536569646215519,0.04559316864897833,0.39457567804024496,0.0036630036630036777,0.6388134201048841,0.36118657989511593,0.3391465861798642
SO Hetmyer,129,250,367.3,718.8,37,8,193.7984496124031,195.6983392322352,0.2868217054263566,0.06201550387596899,0.8649022683793655,0.1102470265324794,0.8294709285370335,0.08608058608058608,0.3153574771401829,0.6846425228598171,0.6109768092596892
SPD Smith,154,265,396.5,666.7,36,9,172.07792207792207,168.14627994955865,0.23376623376623376,0.05844155844155844,0.6650340466536946,0.12508894988309444,0.6163206871868289,0.13186813186813187,0.28974077669345255,0.7102592233065474,0.4985082815929304
SS Iyer,95,138,242.6,355.7,18,5,145.26315789473685,146.6199505358615,0.18947368421052632,0.05263157894736842,0.5088776905695662,0.046863881264613175,0.43837546622461665,0.023809523809523808,0.24809702274261505,0.751902977257385,0.37817019583236333
SS Tiwary,115,175,393.40000000000003,616.4,20,5,152.17391304347828,156.68530757498726,0.17391304347826086,0.043478260869565216,0.5818938303725507,0.12351326623970722,0.37586062611738746,0.06043956043956045,0.18248947176124455,0.8175105282387555,0.42042731948827083
STR Binny,111,185,388.6,645.3,23,6,166.66666666666669,166.05764282038083,0.2072072072072072,0.05405405405405406,0.6498826496362871,0.12107349801768831,0.5096198560765489,0.05311355311355312,0.2582927908005308,0.7417072091994692,0.4655738069046645
SV Samson,150,259,397.90000000000003,683.6,35,11,172.66666666666666,171.80196029153052,0.23333333333333334,0.07333333333333333,0.6915530927130507,0.12580054894784998,0.6145815106445027,0.12454212454212457,0.3964794338788147,0.6035205661211853,0.4975039180700218
Shakib Al Hasan,91,138,324.9,445.5,18,6,151.64835164835165,137.1191135734072,0.1978021978021978,0.06593406593406594,0.4399566938081656,0.08869574057131237,0.47183525136281035,0.01648351648351648,0.34344426029521125,0.6565557397047888,0.35539280152892133
TH David,140,286,428.0,839.1,40,7,204.28571428571428,196.0514018691589,0.2857142857142857,0.05,0.8674634562991403,0.14109992884009354,0.8250218722659667,0.10622710622710621,0.22923485183547107,0.7707651481645289,0.6279089681800316
