bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index
Bipul Sharma,193,354.7,258,574.6,11,14.9,56,90.3,1.837823834196891,9.719763180152242,0.2545813363405695,0.042007330138144915,193,9.706072737368244,0.03984835899729518,0.30638414002870074,0.24200600911530784,0.03705195328231978,0.5912348234852203,0.4087651765147797,0.2624282907868009
C Green,217,435.2,275,615.2,12,22.1,73,139.4,2.005529953917051,8.481617647058824,0.3203125,0.05078125000000001,217,8.701020265254177,0.0569931633761421,0.5108272147785299,0.30996680824899336,0.04671768022553363,0.37963951291701736,0.6203604870829826,0.3945057176135233
C Sakariya,154,344.6,210,506.2,3,8.3,47,91.3,2.237662337662338,8.81369704004643,0.26494486360998254,0.0240858966918166,154,9.019464341069858,0.03769727173982494,0.3386177300376999,0.10319063835625515,0.02134514699959726,0.4466820554611801,0.5533179445388199,0.2898120597283114
CH Gayle,282,601.7,356,871.8,10,16.8,92,196.5,2.1336879432624114,8.693368788432773,0.3265747050024929,0.02792089080937344,282,8.8379258426179,0.09245415628394353,0.5303044973055332,0.13289563555314549,0.07289569069673782,0.4084624639216172,0.5915375360783828,0.360835856711435
CH Morris,782,1793.6,1047,2669.5,40,83.7,270,524.4,2.2936061381074166,8.930084745762713,0.2923728813559322,0.04666592328278323,782,8.973542851679738,0.3463037505590697,0.42392685846464384,0.27809041812897634,0.27426500201369314,0.43701413057282257,0.5629858694271774,0.4168205724034659
CJ Anderson,144,321.0,245,627.1,5,12.1,30,50.1,2.2291666666666665,11.721495327102804,0.1560747663551402,0.037694704049844235,144,11.18843664182425,0.03267096884118162,0.0,0.20860138268375011,0.01731776077325816,0.9033192762289615,0.09668072377103853,0.08219095126011658
CJ Jordan,310,812.4,497,1468.6,13,28.400000000000002,86,206.5,2.6206451612903225,10.846381093057605,0.2541851304775973,0.03495814869522403,310,10.680665334052662,0.13732881817988202,0.30515182433017396,0.18740464374587779,0.08417237213048732,0.7964173675758202,0.20358263242417984,0.19878177490370436
CR Brathwaite,155,428.7,218,623.4,10,31.5,44,128.2,2.765806451612903,8.724982505248425,0.2990436202472591,0.0734779566130161,155,8.951383754754179,0.05560880028965136,0.444674800443311,0.4857703650867287,0.021747885622231178,0.4323489403206042,0.5676510596793958,0.39528301259946724
CR Woakes,154,318.0,190,394.5,15,29.1,65,133.9,2.064935064935065,7.443396226415094,0.4210691823899371,0.09150943396226416,154,7.985021569995221,0.03203203203203203,0.8242098601264699,0.6254381110326954,0.02134514699959726,0.22889915806661643,0.7711008419333836,0.5667542084132818
CRD Fernando,148,293.7,185,405.09999999999997,10,21.099999999999998,55,94.1,1.9844594594594593,8.27579162410623,0.32039496084439906,0.07184201566224038,148,8.623628998882943,0.026856643877920472,0.5110836920358437,0.47309873643035166,0.018928715263793798,0.36334620535602724,0.6366537946439728,0.42558668192669696
